BrNumber,BrName,Street,City,State,ZipCode,phone,MgrID,ServerConnectedToSerialNo
103,lorem,102 Curabitur St.,Aurora,Delaware,82196,(483) 510-1380,103,SEA2C586-88ED-A0A3-0C13-EECA13E394AB
105,Aenean,103 Curabitur St.,Little Rock,Missouri,65261,(669) 493-6563,105,6A380749-276E-7EFA-CBE4-9DF9C387D2CF
107,pellentesque.,104 Curabitur St.,Biloxi,Oregon,65261,(683) 472-8625,107,6A380749-276E-7EFA-CBE4-9DF9C387D2CF
108,ac,105 Curabitur St.,Columbia,Minnesota,78451,(675) 185-4431,108,76F956F1-3AB7-399F-6B4D-7DA37EC9992E
111,magna.,106 Curabitur St.,Dallas,Wisconsin,78451,(669) 443-9686,111,76F956F1-3AB7-399F-6B4D-7DA37EC9992E
112,sem,107 Curabitur St.,Billings,Oregon,78451,(182) 638-1523,112,76F956F1-3AB7-399F-6B4D-7DA37EC9992E
121,vitae,108 Curabitur St.,Waterbury,Louisiana,77034,(366) 248-7627,121,BD5F40F4-6ABD-34C8-347D-7666589EDBFF
128,amet,109 Curabitur St.,Nashville,Oregon,72206,(694) 468-7771,128,D65820E6-B4C3-C4C1-38AC-99D69184C3C1
133,magna.,110 Curabitur St.,Baton Rouge,Oklahoma,76041,(888) 928-4824,133,DDD66138-59CA-4A78-6461-1CE94776DA8D
135,fermentum,111 Curabitur St.,Clarksville,Tennessee,76041,(421) 186-5793,135,DDD66138-59CA-4A78-6461-1CE94776DA8D
137,ligula.,112 Curabitur St.,Fort Worth,Idaho,76041,(446) 557-9258,137,DDD66138-59CA-4A78-6461-1CE94776DA8D
139,nisi.,113 Curabitur St.,Seattle,Minnesota,76041,(407) 530-1406,139,DDD66138-59CA-4A78-6461-1CE94776DA8D
142,nunc.,114 Curabitur St.,Duluth,Indiana,71853,(528) 823-2135,142,B62D1AF2-1FB7-9EA3-D1B3-2A6E886401B8
147,magna.,115 Curabitur St.,Portland,Ohio,71853,(727) 888-0626,147,B62D1AF2-1FB7-9EA3-D1B3-2A6E886401B8
148,Suspendisse,116 Curabitur St.,Portland,Maine,71853,(921) 676-5579,148,B62D1AF2-1FB7-9EA3-D1B3-2A6E886401B8
126,tellus,115-3918 Luctus Road,Sioux City,Florida,72206,(238) 111-8285,126,D65820E6-B4C3-C4C1-38AC-99D69184C3C1
118,sagittis,139-8641 Orci St.,Baltimore,Nebraska,77034,(455) 541-1121,118,BD5F40F4-6ABD-34C8-347D-7666589EDBFF
140,magna.,164-5580 Nunc Ave,Harrisburg,Indiana,71853,(342) 886-2082,140,B62D1AF2-1FB7-9EA3-D1B3-2A6E886401B8
102,Curabitur,1976 Dictum Avenue,Dallas,Montana,82196,(848) 393-1958,102,SEA2C586-88ED-A0A3-0C13-EECA13E394AB
132,ac,216-1401 Semper Rd.,Kenosha,Maine,72206,(724) 222-5531,132,D65820E6-B4C3-C4C1-38AC-99D69184C3C1
117,Maecenas,268-7956 Conubia St.,Fort Worth,Wisconsin,77034,(535) 924-3771,117,BD5F40F4-6ABD-34C8-347D-7666589EDBFF
106,vitae,296-6052 Venenatis Rd.,Tallahassee,Alabama,65261,(265) 775-7262,106,6A380749-276E-7EFA-CBE4-9DF9C387D2CF
116,cursus,351-5914 Velit. Rd.,Rock Springs,Oklahoma,77034,(637) 903-8488,116,BD5F40F4-6ABD-34C8-347D-7666589EDBFF
123,magna.,355-3706 Proin Road,Pittsburgh,Oregon,90759,(936) 966-3671,123,841170AB-08AE-61B3-616C-1E51EFD45F4E
145,Vestibulum,412-8332 Fusce Rd.,Norman,Ohio,71853,(461) 263-4562,145,B62D1AF2-1FB7-9EA3-D1B3-2A6E886401B8
110,nulla.,487-6909 Metus Street,Cambridge,Massachusetts,78451,(545) 817-2046,110,76F956F1-3AB7-399F-6B4D-7DA37EC9992E
141,dolor.,642-5766 Lorem Rd.,Portland,Kansas,71853,(342) 455-3005,141,B62D1AF2-1FB7-9EA3-D1B3-2A6E886401B8
109,lectus,6667 Mollis Av.,Missoula,Georgia,78451,(416) 164-2384,109,76F956F1-3AB7-399F-6B4D-7DA37EC9992E
101,risus.,736-2176 Donec Avenue,Fort Worth,Utah,82196,(847) 129-6381,101,SEA2C586-88ED-A0A3-0C13-EECA13E394AB
149,tellus,7378 Orci Ave,Anchorage,Wisconsin,71853,(693) 558-9268,149,B62D1AF2-1FB7-9EA3-D1B3-2A6E886401B8
143,magna.,755-6695 Dolor Road,Cincinnati,Connecticut,71853,(761) 262-1954,143,B62D1AF2-1FB7-9EA3-D1B3-2A6E886401B8
136,Aliquam,770-9735 Hendrerit. St.,San Antonio,Vermont,76041,(610) 448-1031,136,DDD66138-59CA-4A78-6461-1CE94776DA8D
124,diam,784-7126 Ac St.,Saint Louis,Georgia,90759,(921) 521-3642,124,841170AB-08AE-61B3-616C-1E51EFD45F4E
134,augue,804-2532 Massa. Rd.,Bear,Massachusetts,76041,(514) 421-2447,134,DDD66138-59CA-4A78-6461-1CE94776DA8D
129,ornare,8246 Hendrerit Rd.,Springfield,Texas,72206,(271) 603-7649,129,D65820E6-B4C3-C4C1-38AC-99D69184C3C1
113,diam,9123 Sit Street,Rockville,Tennessee,66398,(187) 526-8362,113,59D7B8B1-5B08-7266-C86A-18CD08ECCB22
130,magna.,979-7417 Nec St.,Fort Collins,Idaho,72206,(252) 348-6833,130,D65820E6-B4C3-C4C1-38AC-99D69184C3C1
131,ac,Ap #188-8143 Sed St.,Kansas City,Nevada,72206,(553) 372-9686,131,D65820E6-B4C3-C4C1-38AC-99D69184C3C1
125,ullamcorper.,Ap #213-3932 Condimentum. Rd.,Hattiesburg,Nebraska,90759,(833) 733-4426,125,841170AB-08AE-61B3-616C-1E51EFD45F4E
119,Pellentesque,Ap #280-2125 Elit St.,Laramie,Vermont,77034,(373) 666-5884,119,BD5F40F4-6ABD-34C8-347D-7666589EDBFF
144,interdum,Ap #318-7424 Ligula Street,Fort Worth,Hawaii,71853,(959) 235-2371,144,B62D1AF2-1FB7-9EA3-D1B3-2A6E886401B8
100,magna.,Ap #379-3421 Ut Road,Olympia,Illinois,82196,(647) 748-5389,100,SEA2C586-88ED-A0A3-0C13-EECA13E394AB
114,sit,Ap #392-9437 Senectus St.,Houston,Arizona,28667,(786) 284-2712,114,0975B73D-60AB-9D38-7176-145312AE5B75
146,nibh,Ap #456-9173 Aliquet Ave,Hattiesburg,Hawaii,71853,(355) 654-8233,146,B62D1AF2-1FB7-9EA3-D1B3-2A6E886401B8
104,interdum.,Ap #463-9960 Fringilla Avenue,Colorado Springs,Arizona,82196,(243) 828-2052,104,SEA2C586-88ED-A0A3-0C13-EECA13E394AB
127,In,Ap #473-7086 Morbi Street,Rockford,Oregon,72206,(278) 466-7887,127,D65820E6-B4C3-C4C1-38AC-99D69184C3C1
120,magna.,Ap #702-7797 Ante Rd.,Jonesboro,Maine,77034,(675) 376-2163,120,BD5F40F4-6ABD-34C8-347D-7666589EDBFF
138,enim.,Ap #868-3463 Neque. Rd.,Billings,Hawaii,76041,(457) 436-8544,138,DDD66138-59CA-4A78-6461-1CE94776DA8D
122,magna.,Ap #918-2586 Nec Rd.,Auburn,Vermont,90759,(680) 816-8873,122,841170AB-08AE-61B3-616C-1E51EFD45F4E
115,dignissim,Ap #983-5988 Dictum Avenue,Evansville,Washington,77034,(836) 337-1204,115,BD5F40F4-6ABD-34C8-347D-7666589EDBFF
